Kilo_Secs,Relative_Flux,Relative_Flux_Error
0,0.021249,0.001624
0.031967962,0.021117,0.001625
0.064022385,0.01934,0.001627
0.095990387,0.019256,0.001631
0.127958389,0.021156,0.001632
0.160012771,0.019355,0.00163
0.191980773,0.014434,0.001638
0.223948775,0.012302,0.00164
0.256003198,0.011362,0.001637
0.2879712,0.007481,0.00164
0.319939162,0.015076,0.001637
0.351993585,0.019061,0.001639
0.383961587,0.023476,0.001642
0.416015969,0.01418,0.001634
0.447983971,0.015112,0.001637
0.479951973,0.018148,0.001632
0.512006396,0.016686,0.001633
0.543974398,0.011087,0.001636
0.5759424,0.012293,0.001646
0.607996783,0.009438,0.001634
0.639964785,0.011582,0.001645
0.671932787,0.010118,0.001642
0.703987169,0.003515,0.001649
0.735955171,0.010708,0.001639
0.768009594,0.017912,0.00164
0.799977596,0.015413,0.00164
0.831945598,0.020419,0.001635
0.863999981,0.015124,0.001633
0.895967983,0.021489,0.001632
0.927935985,0.020742,0.001631
0.959990367,0.022319,0.001628
0.991958369,0.022318,0.001629
1.023926371,0.010359,0.001636
1.055980794,0.00682,0.001634
1.087948796,0.014049,0.001629
1.119916798,0.011517,0.00163
1.151971181,0.017484,0.001631
1.183939183,0.018863,0.001629
1.215993565,0.015048,0.00163
1.247961567,0.011596,0.001633
1.279929569,0.013761,0.001634
1.311983992,0.010526,0.001631
1.343951994,0.012564,0.001638
1.375919996,0.007445,0.001641
1.407974379,0.007029,0.00164
1.439942381,0.004985,0.001634
1.471910383,0.010984,0.001633
1.503964765,0.007129,0.001631
1.535932767,0.008774,0.001633
1.567900769,0.013471,0.001632
1.599955192,0.01104,0.001632
1.631923194,0.015102,0.001628
1.663891196,0.004544,0.001646
1.695945579,0.007356,0.001633
1.727913581,0.006985,0.001636
1.759967963,0.002439,0.001634
1.791935965,0.005457,0.00163
1.823903967,0.002489,0.001632
1.85595839,0.005027,0.001627
1.887926392,0.006019,0.001628
1.919894394,0.006406,0.00163
1.951948777,0.011215,0.001625
1.983916779,0.010169,0.001626
2.015884781,0.010157,0.001625
2.047939163,0.011763,0.001628
2.079907165,0.014661,0.001624
2.111961588,0.012597,0.001626
2.14392959,0.01133,0.001626
2.175897592,0.004659,0.001631
2.207951975,0.004285,0.001628
2.239919977,0.001446,0.001632
2.271887979,0.000654,0.001641
2.303942361,0.006807,0.001628
2.335910364,0.004122,0.00163
2.367878366,0.007192,0.001626
2.399932788,0.005829,0.001635
2.43190079,0.005626,0.001634
2.463868792,0.01252,0.001626
2.495923175,0.001697,0.001633
2.527891177,0.005994,0.001625
2.5599456,0.001822,0.001629
2.591913562,0.001364,0.001627
2.623881564,0.00409,0.001629
2.656886373,0.009434,0.001622
2.688854375,0.010337,0.001622
2.720908798,0.012156,0.00162
2.7528768,0.013494,0.001622
2.784931183,0.003386,0.001647
2.816899185,0.001771,0.001644
2.848867187,0.003758,0.001645
2.880921569,-0.000973,0.001649
2.912889571,-0.001455,0.001651
2.944857574,0.000845,0.001647
2.976911996,-0.002848,0.001657
3.008879998,-0.003308,0.001651
3.040848,0.000778,0.001642
3.072902383,0.002326,0.001652
3.104870385,0.005966,0.001648
3.136838387,-0.001174,0.001657
3.16889277,-0.000595,0.001644
3.200860772,0.000896,0.00165
3.232915194,0.002207,0.001643
3.264883196,0.004536,0.001642
3.296851198,0.00462,0.001644
3.328905581,-0.002646,0.001635
3.360873583,-0.005655,0.00164
3.392841585,0.000446,0.001639
3.424895968,-0.000904,0.001633
3.45686397,0.000199,0.00164
3.488831972,0.002495,0.001638
3.520886394,0.002102,0.001635
3.552854396,0.001823,0.001639
3.584822398,-0.000767,0.001641
3.616876781,0.000988,0.001633
3.648844783,-0.00451,0.001634
3.680899166,0.002628,0.001632
3.712867168,-0.003771,0.001636
3.74483517,-0.008375,0.001641
3.776889592,-0.007838,0.001635
3.808857594,-0.002076,0.001633
3.840825596,-0.002256,0.001628
3.872879979,-0.000181,0.001635
3.904847981,-0.004986,0.001632
3.936815983,-0.000676,0.001644
3.968870366,-0.000717,0.001636
4.000838368,-0.000204,0.001632
4.03280637,-0.001766,0.001635
4.064860792,-0.00461,0.001637
4.096828794,-0.003292,0.001635
4.128883177,-0.010854,0.00163
4.160851179,-0.008131,0.001641
4.193855989,-0.0008,0.001634
4.225823991,-0.004109,0.001632
4.257878374,-0.005753,0.001641
4.289846376,0.002158,0.001641
4.321814378,-0.001968,0.001638
4.3538688,-0.009095,0.001641
4.385836762,-0.000494,0.001643
4.417804764,-0.002367,0.00164
4.449859187,-0.007774,0.001643
4.481827189,-0.005888,0.001644
4.513795191,-0.006865,0.001643
4.545849574,-0.010209,0.001641
4.577817576,-0.005337,0.001632
4.609785578,0.000751,0.00163
4.64184,0.000127,0.001633
4.673807962,-0.003488,0.001633
4.705775964,0.003165,0.001627
4.737830387,0.00488,0.001631
4.769798389,-0.004526,0.00163
4.801852772,0.000542,0.001628
4.833820774,-0.002219,0.001629
4.865788776,-0.003277,0.001624
4.897843198,-0.000534,0.001629
4.929811201,-0.001725,0.001627
4.961779162,-0.005766,0.001627
4.993833585,0.000969,0.001625
5.025801587,0.002668,0.001624
5.057769589,0.001466,0.001625
5.089823972,0.004378,0.001625
5.121791974,0.003958,0.001623
5.153759976,0.003289,0.001626
5.185814399,0.00484,0.001623
5.217782401,-0.000271,0.001629
5.25078717,-0.001054,0.001629
5.282755172,-0.011427,0.00163
5.314809595,-0.001064,0.001634
5.346777597,-0.002895,0.001637
5.378745599,0.003482,0.001626
5.410799982,-0.00204,0.001625
5.442767984,1.70E-05,0.00163
5.473785599,0.003375,0.001631
5.505753601,0.001694,0.001629
5.537807983,0.000332,0.001627
5.569775985,-0.005187,0.001629
5.601743987,0.002147,0.001626
5.63379837,-0.000844,0.001629
5.665766372,-0.008813,0.001626
5.697820795,-0.006403,0.001637
5.729788797,-0.003622,0.001628
5.761756799,-0.001174,0.001626
5.793811181,-0.001606,0.001625
5.825779183,0.000951,0.001627
5.857747185,0.001375,0.001625
5.889801568,0.00218,0.001632
5.92176957,-0.001778,0.00163
5.953737572,-0.00237,0.001627
5.985791995,-0.000204,0.001633
6.017759997,4.60E-05,0.001631
6.049727999,-0.000645,0.001627
6.081782381,-0.00432,0.001625
6.113750383,-0.002309,0.001627
6.145718385,-0.000181,0.001625
6.177772768,0.002358,0.001623
6.20974077,0.004949,0.001627
6.241795193,0.002433,0.001624
6.273763195,0.002591,0.001625
6.305731197,-0.004106,0.001628
6.337785579,0.00253,0.001626
6.369753581,-0.00049,0.001625
6.401721583,-0.000891,0.001628
6.433775966,-0.006453,0.001629
6.465743968,-0.003692,0.001624
6.49771197,-0.006275,0.001626
6.529766393,-0.002074,0.001625
6.561734395,-0.004658,0.001625
6.593702397,-0.004943,0.001628
6.625756779,-0.002576,0.001631
6.657724781,-0.003332,0.001632
6.689779164,-0.006921,0.001633
6.721747166,-0.007827,0.001633
6.753715168,-0.000293,0.001631
6.785769591,-0.004382,0.001632
6.817737593,-0.00719,0.001639
6.849705595,-0.011044,0.001638
6.881759977,-0.006323,0.001632
6.913727979,-0.008066,0.001632
6.945695981,-0.002198,0.001634
6.977750364,0.001718,0.001632
7.009718366,-0.003129,0.001633
7.041772789,0.000722,0.001624
7.073740791,-0.007169,0.001628
7.105708793,-0.003545,0.001631
7.137763175,-0.004872,0.001631
7.169731177,-0.008066,0.001626
7.201699179,-0.012706,0.001631
7.233753562,-0.009564,0.00163
7.265721564,-0.001842,0.001626
7.297689566,-0.004283,0.001629
7.329743989,0.002097,0.00163
7.361711991,0.004154,0.001633
7.393679993,0.0001,0.001633
7.425734375,-0.000876,0.001639
7.457702377,-0.004939,0.001641
7.489670379,0.000112,0.001653
7.521724762,-0.006977,0.00164
7.553692764,-0.008654,0.001641
7.585660766,-0.011553,0.001642
7.617715189,-0.007908,0.001647
7.649683191,-0.000122,0.001646
7.681737573,-0.001461,0.001643
7.713705575,-0.004144,0.001644
7.745673577,-0.000494,0.001647
7.777728,-0.001409,0.001638
7.809695962,-0.002486,0.001636
7.841663964,-0.001278,0.001635
7.873718387,-0.002003,0.001644
7.905686389,-0.003607,0.001647
7.937654391,-0.00253,0.001643
7.969708773,-0.010594,0.001675
8.001676776,-0.003949,0.00167
8.033731198,-0.007261,0.001679
8.0656992,-0.001456,0.00167
8.097667162,-0.006207,0.001665
8.129721585,0.004434,0.001663
8.161689587,-0.001657,0.001674
8.193657589,-0.003619,0.001674
8.225711972,-0.003781,0.001665
8.257679974,-0.005422,0.00168
8.289647976,-0.000278,0.001704
8.321702398,-0.000726,0.001715
8.3536704,-0.009966,0.001713
8.385638362,-0.00497,0.001714
8.417692785,-0.010081,0.001692
8.449660787,-0.00226,0.001707
8.48171517,-0.004513,0.001696
8.513683172,0.001732,0.001702
8.545651174,0.00032,0.00169
8.577705596,-0.003343,0.001705
8.609673598,-0.001331,0.001708
8.6416416,-0.002463,0.001705
8.673695983,-0.003963,0.001684
8.705663985,-0.005649,0.00173
8.737631987,-0.007008,0.001731
8.76968637,-0.003402,0.001741
8.801654372,-0.005448,0.001722
8.833622374,-0.003924,0.001717
8.865676796,-0.002039,0.001698
8.897644798,0.002284,0.001728
8.929699181,-0.002326,0.001729
8.961667183,-0.005539,0.001687
8.993635185,-0.004266,0.00164
9.025689568,-0.001251,0.001638
9.05765757,-0.005034,0.001647
9.089625572,-0.004416,0.001638
9.121679994,-0.00742,0.00164
9.153647996,-0.004489,0.001636
9.185615999,-0.000941,0.001637
9.217670381,-0.004923,0.001635
9.249638383,-0.005831,0.001644
9.281606385,-0.006789,0.001636
9.313660768,-0.001785,0.001641
9.34562877,-0.003985,0.001641
9.377683192,-0.001589,0.001642
9.409651195,-0.004835,0.001639
9.441619197,-0.006308,0.001646
9.473673579,-0.00631,0.001642
9.505641581,-0.005924,0.001657
9.537609583,-0.011107,0.001641
9.569663966,-0.010047,0.001636
9.601631968,-0.005986,0.001638
9.63359997,-0.00034,0.00164
9.665654393,0.000601,0.001646
9.697622395,0.001036,0.001655
9.729590397,-0.003679,0.001644
9.761644779,0.000857,0.001639
9.793699162,-0.000926,0.001655
9.825580783,-0.004346,0.001639
9.857635166,-0.003338,0.00164
9.889603168,-0.006544,0.001639
9.921657591,-0.012602,0.001646
9.953625593,-0.00415,0.001641
9.985593595,-0.004647,0.001636
10.01764798,-0.002015,0.001632
10.04961598,-0.003597,0.001633
10.08158398,0.003256,0.001628
10.11363836,0.003306,0.001627
10.14560637,0.002336,0.001632
10.17757437,0.001035,0.001634
10.20962879,-0.001986,0.001628
10.24159679,0.001994,0.001629
10.27356479,-0.002412,0.001629
10.30561918,-0.006734,0.001626
10.33758718,-0.007805,0.001628
10.36964156,-0.000934,0.001629
10.40160956,0.008569,0.00163
10.43357757,0.003725,0.001628
10.46563199,-0.000883,0.001629
10.49759999,0.000894,0.001628
10.52956799,-0.002277,0.00163
10.56162238,-0.000681,0.001631
10.59359038,-0.001432,0.001632
10.62555838,-0.008377,0.00164
10.65761276,-0.012821,0.001872
10.68958076,-0.017186,0.001872
10.72154877,-0.007286,0.001891
10.75360319,-0.001001,0.001868
10.78557119,-0.005949,0.001866
10.81753919,-0.008708,0.001873
10.84959358,-0.003788,0.001873
10.88156158,-0.0089,0.00189
10.913616,-0.013185,0.001878
10.94558396,-0.018836,0.00188
10.97755196,-0.008528,0.001744
11.00960639,-0.005291,0.001644
11.04157439,-0.005703,0.001641
11.07354239,-0.004134,0.001644
11.10559677,-8.00E-06,0.001641
11.13756478,0.000551,0.001641
11.16953278,-0.002233,0.001646
11.2015872,0.000633,0.00164
11.23355516,0.002483,0.001641
11.26552316,-0.00368,0.001647
11.29757759,-0.001698,0.001641
11.32954559,0.004508,0.001642
11.36159997,0.002898,0.001641
11.39356797,0.001913,0.001645
11.42553598,-0.002077,0.001648
11.4575904,-0.005662,0.001649
11.4895584,-0.003808,0.001642
11.52152636,-0.000662,0.001642
11.55358078,0.006175,0.001637
11.58554879,0.004702,0.001641
11.61751679,0.005066,0.001641
11.64957117,0.012019,0.001639
11.68153917,0.001716,0.001643
11.7135936,0.00417,0.001642
11.7455616,0.008705,0.001639
11.7775296,0.003233,0.001641
11.80958398,-0.002249,0.001647
11.84155198,-0.002566,0.001647
11.87351999,-0.003056,0.001646
11.9065248,0.002126,0.001643
